 d-2	 d-1	 d0	 d+1	 d+2
1.002485912217483559e+02 1.002469558524659305e+02 1.002390999999996382e+02 1.001679272217591148e+02 9.993486632621039689e+01
1.002487463359152429e+02 1.002469410443706010e+02 1.002386999999996249e+02 1.001665839056011151e+02 9.992681054156628306e+01
1.002287535426806500e+02 1.002264485654726229e+02 1.002168999999989012e+02 1.001413618577542906e+02 9.987722251620368752e+01
1.002293755829514197e+02 1.002233931543459846e+02 1.002068999999985692e+02 1.001212873854589844e+02 9.982126125384795046e+01
1.002386154359364951e+02 1.002288029229381578e+02 1.001997999999983335e+02 1.000886490413466703e+02 9.970182239222889109e+01
1.002341774157753918e+02 1.002245726920251201e+02 1.001943999999981543e+02 1.000777315430395760e+02 9.966910105718959301e+01
1.002357762281319395e+02 1.002261739056527858e+02 1.001942999999981510e+02 1.000702880938686263e+02 9.963321910588030050e+01
1.002329263540629967e+02 1.002233637284605265e+02 1.001910999999980447e+02 1.000649245885297347e+02 9.961888063959628425e+01
1.002506749920789275e+02 1.002410793407329237e+02 1.002039999999984730e+02 1.000532190819844658e+02 9.950640162984994674e+01
1.002511833711414369e+02 1.002417052884435691e+02 1.002046999999984962e+02 1.000531659845477606e+02 9.950196741555238589e+01
1.002447735921994507e+02 1.002361902554222866e+02 1.001998999999983369e+02 1.000432148195530573e+02 9.946068397093416991e+01
1.002458009061237902e+02 1.002376697268874750e+02 1.002016999999983966e+02 1.000393578405593331e+02 9.942165490182931364e+01
1.002466529570745024e+02 1.002388816460016443e+02 1.002033999999984530e+02 1.000369627858522534e+02 9.938969839132396089e+01
1.002409539088301358e+02 1.002337492335206974e+02 1.001993999999983203e+02 1.000274933924482781e+02 9.933287744910968797e+01
1.002260635079184397e+02 1.002186243392869756e+02 1.001844999999978256e+02 1.000072241490967002e+02 9.926292364954203151e+01
1.002176869557289081e+02 1.002091982157032817e+02 1.001736999999974671e+02 9.999187956854048309e+01 9.921285642831868756e+01
1.002328957415502941e+02 1.002213206680026190e+02 1.001807999999977028e+02 9.998686630764518668e+01 9.912672157885205593e+01
1.002358278260849147e+02 1.002241611273082356e+02 1.001825999999977626e+02 9.998288578624539014e+01 9.907374941815433544e+01
1.002176083643352342e+02 1.002063381620567384e+02 1.001623999999970920e+02 9.994390332416034539e+01 9.885778563078628167e+01
1.002287810397144483e+02 1.002161585832542983e+02 1.001691999999973177e+02 9.994081318358436761e+01 9.876939259117580150e+01
1.002297217879575157e+02 1.002170087701371273e+02 1.001688999999973078e+02 9.993288348410044364e+01 9.868341067376722719e+01
1.002347080402263657e+02 1.002220730493004481e+02 1.001732999999974538e+02 9.993110323399309891e+01 9.861311790114238818e+01
1.002291546270718072e+02 1.002168940039569094e+02 1.001680999999972812e+02 9.992080331127732507e+01 9.853748306314814442e+01
1.002302738601664487e+02 1.002180916643248025e+02 1.001688999999973078e+02 9.991568607760444820e+01 9.845667294978277084e+01
1.002305259652298446e+02 1.002185372984639713e+02 1.001692999999973210e+02 9.991104702747907140e+01 9.837940010182772710e+01
1.002306715737969398e+02 1.002188279219531211e+02 1.001696999999973343e+02 9.990831778525728168e+01 9.832561991877410890e+01
1.002370594968836599e+02 1.002253023900043587e+02 1.001762999999975534e+02 9.991237497922355715e+01 9.828385332979014777e+01
1.002392626212383391e+02 1.002280245128577576e+02 1.001799999999976762e+02 9.991274652099627929e+01 9.820285778069040816e+01
1.002407714347000649e+02 1.002299707392381976e+02 1.001828999999977725e+02 9.991394923582640786e+01 9.814349008481032399e+01
